function,module,impl_block
spec_optional_edwards_from_ristretto_iter(),curve25519-dalek::specs::iterator_specs,
straus_multiscalar_mul_verus(),curve25519-dalek::backend,
Sub::sub(),curve25519-dalek::backend::serial::curve_models,
lemma_field_y_sq_one_implies_x_zero(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_product_square_factorize(),curve25519-dalek::lemmas::common_lemmas::mul_lemmas,
naf_lookup_table8_projective_limbs_bounded(),curve25519-dalek::specs::window_specs,
VartimePrecomputedMultiscalarMul::new(),curve25519-dalek::traits,
l51_bit_mask_lt(),curve25519-dalek::specs::field_specs_u64,
spec_elligator_encode(),curve25519-dalek::specs::montgomery_specs,
is_uniform_bytes(),curve25519-dalek::specs::proba_specs,
fe51_to_biguint(),curve25519-dalek::specs::edwards_specs::basepoint_on_curve_tests,
lemma_q_is_binary(),curve25519-dalek::lemmas::field_lemmas::compute_q_lemmas,
FieldElement51::square2(),curve25519-dalek::backend::serial::u64::field,
canonical_montgomery_lift(),curve25519-dalek::specs::montgomery_specs,
lemma_sqrt_ratio_implies_on_curve(),curve25519-dalek::lemmas::edwards_lemmas::step1_lemmas,
lemma_r_equals_spec(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_pp_mm_decompose(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
axiom_edwards_basepoint_maps_to_montgomery_basepoint(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
ProjectiveNielsPoint::fmt(),curve25519-dalek::backend::serial::curve_models,
lemma_last_iter_carry_zero(),curve25519-dalek::lemmas::scalar_lemmas_::radix_2w_lemmas,
lemma_field_square_of_pow_mod(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_edwards_scalar_mul_signed_of_scalar_mul(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
lemma_zero_limbs_bounded_51(),curve25519-dalek::lemmas::field_lemmas::constants_lemmas,
lemma_montgomery_mul_exponent_add(),curve25519-dalek::lemmas::montgomery_pow_chain_lemmas,
RistrettoPoint::elligator_ristretto_flavor_inverse(),"curve25519-dalek::[FieldElement;::&RistrettoPoint#RistrettoPoint<(u8,::lizard::lizard_ristretto",
sum_bounded(),curve25519-dalek::specs::edwards_specs::eight_torsion_tests,
ci_val_boundaries(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
lemma_xor_sign_bit_preserves_y(),curve25519-dalek::lemmas::field_lemmas::as_bytes_lemmas,
NafLookupTable8::fmt(),curve25519-dalek::window,
is_equal_to_minus_one(),curve25519-dalek::specs::montgomery_specs,
get_selected_backend(),curve25519-dalek::backend,
RistrettoPoint::mul_base(),curve25519-dalek::ristretto,
FieldElement51::ct_eq(),curve25519-dalek::field,
field_add(),curve25519-dalek::specs::field_specs,
lemma_sub_via_negation(),curve25519-dalek::lemmas::edwards_lemmas::niels_addition_correctness,
lemma_field_mul_left_cancel(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
edwards_neg(),curve25519-dalek::specs::edwards_specs,
Scalar::neg(),curve25519-dalek::scalar,
sha512_hash_bytes(),curve25519-dalek::core_assumes,
NafLookupTable8::clone(),curve25519-dalek::window,
montgomery_scalar_mul_u(),curve25519-dalek::specs::montgomery_specs,
Scalar52::fmt(),curve25519-dalek::backend::serial::u64::scalar,
axiom_neg_sqrt_m1_not_square(),curve25519-dalek::lemmas::field_lemmas::sqrt_m1_lemmas,
MontgomeryPoint::to_edwards(),curve25519-dalek::montgomery,
Sub::sub(),curve25519-dalek::backend::serial::u64::field,
Neg::neg(),curve25519-dalek::ristretto,
axiom_from_bytes_uniform(),curve25519-dalek::specs::proba_specs,
spec_projective_niels_point(),curve25519-dalek::specs::edwards_specs,
group_canonical(),curve25519-dalek::specs::scalar52_specs,
lemma_cancel_mul_R_mod_L(),curve25519-dalek::lemmas::scalar_lemmas,
AffineNielsPoint::zeroize(),curve25519-dalek::backend::serial::curve_models,
lemma_naf_odd_step(),curve25519-dalek::lemmas::scalar_lemmas_::naf_lemmas,
lemma_l_limbs_bounded(),curve25519-dalek::lemmas::scalar_lemmas,
CompressedRistretto::try_from(),curve25519-dalek::ristretto,
lemma_one_bounded(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_mod_sub_eq(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_negate_projective_niels_is_edwards_neg(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
c2_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
factorial(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
EdwardsPoint::optional_multiscalar_mul_verus(),curve25519-dalek::edwards,
axiom_binomial_theorem(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
ct_option_has_value(),curve25519-dalek::backend::serial::u64::subtle_assumes,
spec_as_bytes(),curve25519-dalek::specs::field_specs_u64,
is_independent_uniform_ristretto_points(),curve25519-dalek::specs::proba_specs,
lemma_euclid_prime(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_mod_inverse_correct(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_neg_neg(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
