function,module,impl_block
lemma_spec_fe51_to_bytes_matches_array(),curve25519-dalek::lemmas::field_lemmas::as_bytes_lemmas,
FieldElement51::from_limbs(),curve25519-dalek::backend::serial::u64::field,
lemma_invert_equals_field_inv(),curve25519-dalek::lemmas::field_lemmas::invert_lemmas,
EdwardsPoint::zeroize(),curve25519-dalek::edwards,
lemma_montgomery_a_limbs_bounded_51(),curve25519-dalek::lemmas::field_lemmas::constants_lemmas,
axiom_uniform_bytes_split(),curve25519-dalek::specs::proba_specs,
lemma_edwards_d_limbs_bounded(),curve25519-dalek::lemmas::edwards_lemmas::constants_lemmas,
lemma_limb0_contribution_correctness(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
Scalar52::montgomery_square(),curve25519-dalek::backend::serial::u64::scalar,
montgomery_neg(),curve25519-dalek::specs::montgomery_specs,
lemma_boundary_byte_combines(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
ProjectivePoint::default(),curve25519-dalek::montgomery,
lemma_foil_add(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_field_sub_add_cancel(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_two_times_one_minus_t(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_modular_bit_partitioning(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
is_uniform_ristretto_point(),curve25519-dalek::specs::proba_specs,
lemma_exponent_chain_implies_montgomery_inverse(),curve25519-dalek::lemmas::montgomery_pow_chain_lemmas,
edwards_sub(),curve25519-dalek::specs::edwards_specs,
lemma_byte_sum_equals_limb_sum(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
lemma_reduction_carry_propagation_is_division(),curve25519-dalek::lemmas::field_lemmas::to_bytes_reduction_lemmas,
p(),curve25519-dalek::lemmas::montgomery_curve_lemmas::test_qr_axioms,
limbs_bounded(),curve25519-dalek::specs::edwards_specs::eight_torsion_tests,
lemma_limb1_contribution_correctness(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
NafLookupTable5::fmt(),curve25519-dalek::window,
lemma_x_zero_implies_y_squared_one(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_compute_q(),curve25519-dalek::lemmas::field_lemmas::compute_q_lemmas,
lemma_pow22501_prove_t19(),curve25519-dalek::lemmas::field_lemmas::pow22501_t19_lemma,
seq_to_array_32(),curve25519-dalek::core_assumes,
is_valid_naf_lookup_table5_projective(),curve25519-dalek::specs::window_specs,
c0_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
lemma_as_bytes_equals_spec_fe51_to_bytes(),curve25519-dalek::lemmas::field_lemmas::as_bytes_lemmas,
lemma_neg_square_eq(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_as_nat_bound_from_51bit_limbs(),curve25519-dalek::lemmas::field_lemmas::to_bytes_reduction_lemmas,
FieldElement51::reduce(),curve25519-dalek::FieldElement51<[u64;::backend::serial::u64::field,
lemma_pow_nonnegative(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
t_high(),curve25519-dalek::specs::montgomery_reduce_specs,
is_valid_radix_2w(),curve25519-dalek::specs::scalar_specs,
is_independent_uniform_field_elements(),curve25519-dalek::specs::proba_specs,
spec_x25519_basepoint_u(),curve25519-dalek::specs::montgomery_specs,
lemma_pm_minus_mp(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
vartime_double_base_mul(),curve25519-dalek::backend,
lemma_neg_no_underflow(),curve25519-dalek::lemmas::field_lemmas::negate_lemmas,
lemma_mul_term_product_bounds(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
Straus::optional_multiscalar_mul_verus(),curve25519-dalek::backend::serial::scalar_mul::straus,
mul_ci_0_val_boundaries(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
lemma_field_sqrt_zero(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
zeroize_bytes32(),curve25519-dalek::core_assumes,
limb_prod_bounded_u128(),curve25519-dalek::specs::scalar52_specs,
EdwardsPoint::sum_original(),curve25519-dalek::edwards,
radix16_even_scalar(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
mul_c4_val(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
lemma_sum_bounds(),curve25519-dalek::lemmas::common_lemmas::sum_lemmas,
EdwardsPoint::identity(),curve25519-dalek::edwards,
lemma_u64x4_cross_word_decompose(),curve25519-dalek::lemmas::scalar_lemmas_::radix_2w_lemmas,
conditional_negate_field_element(),curve25519-dalek::backend::serial::u64::subtle_assumes,
lemma_mod_sum_factor(),curve25519-dalek::lemmas::common_lemmas::div_mod_lemmas,
load8_at_or_version_rec(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
Mul::mul(),curve25519-dalek::ristretto,
CompletedPoint::as_projective(),curve25519-dalek::backend::serial::curve_models,
spec_fe51_as_bytes(),curve25519-dalek::specs::field_specs,
lemma_even_sum_up_to_step_odd(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
RistrettoPoint::from_hash(),curve25519-dalek::ristretto,
Scalar52::square(),curve25519-dalek::backend::serial::u64::scalar,
lemma_shr_51_fits_u64(),curve25519-dalek::lemmas::field_lemmas::pow2_51_lemmas,
Scalar52::montgomery_invert(),curve25519-dalek::scalar,
select(),curve25519-dalek::backend::serial::u64::subtle_assumes,
projective_niels_point_as_affine_edwards(),curve25519-dalek::specs::edwards_specs,
lemma_montgomery_radix_nonzero_mod_group_order(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_from_le_bytes(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
lemma_limb_from_adjacent_words(),curve25519-dalek::lemmas::scalar_lemmas_extra,
spec_xdbladd_projective(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
is_valid_lookup_table_affine(),curve25519-dalek::specs::window_specs,
lemma_basepoint_table_select(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
axiom_p_is_prime(),curve25519-dalek::specs::primality_specs,
Scalar::add_assign(),curve25519-dalek::scalar,
ProjectivePoint::as_extended(),curve25519-dalek::backend::serial::curve_models,
lemma_two_times_one_plus_t(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
RistrettoPoint::zeroize(),curve25519-dalek::ristretto,
lemma_field_mul_one_right(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
MontgomeryPoint::default(),curve25519-dalek::montgomery,
negate_projective_niels(),curve25519-dalek::specs::edwards_specs,
affine_niels_point_as_affine_edwards(),curve25519-dalek::specs::edwards_specs,
lemma_sub_affine_niels_completed_valid(),curve25519-dalek::lemmas::edwards_lemmas::niels_addition_correctness,
lemma_swap_sub_negates_mul(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_montgomery_add_zero_point_doubles_to_infinity(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
math_on_edwards_curve_projective(),curve25519-dalek::specs::edwards_specs,
CompressedRistretto::zeroize(),curve25519-dalek::ristretto,
lemma_montgomery_reduce_pre_sub(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_lemmas,
lemma_load8_shift_mod_aux(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
spec_extended_gcd(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_two_l_div_pow2_208_eq_pow2_45(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_lemmas,
lemma_byte_extraction_commutes_with_mod(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
lemma_select_projective_is_signed_scalar_mul(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
naf_lookup_table5_affine_limbs_bounded(),curve25519-dalek::specs::window_specs,
lemma_prove_geometric_mul_step(),curve25519-dalek::lemmas::field_lemmas::pow_chain_lemmas,
lemma_boundary_byte_combines_52(),curve25519-dalek::lemmas::scalar_byte_lemmas::scalar_to_bytes_lemmas,
lemma_projective_niels_affine_equals_edwards_affine(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
choice_not(),curve25519-dalek::backend::serial::u64::subtle_assumes,
is_uniform(),curve25519-dalek::specs::proba_specs,
lemma_affine_niels_affine_equals_edwards_affine(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
CompressedRistretto::default(),curve25519-dalek::ristretto,
montgomery_congruent(),curve25519-dalek::specs::montgomery_reduce_specs,
Straus::optional_multiscalar_mul(),curve25519-dalek::backend::serial::scalar_mul::straus,
compute_unmasked_limbs(),curve25519-dalek::specs::field_specs_u64,
axiom_montgomery_add_inverse(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
axiom_ed25519_basepoint_canonical(),curve25519-dalek::specs::edwards_specs,
AffineNielsPoint::default(),curve25519-dalek::backend::serial::curve_models,
lemma_divides_linear_combo_sub(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
Scalar52::from_montgomery(),curve25519-dalek::backend::serial::u64::scalar,
RistrettoPoint::optional_multiscalar_mul_verus(),curve25519-dalek::ristretto,
lemma_solve_for_left_factor(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_bezout_identity(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
scalar_as_nat(),curve25519-dalek::specs::scalar_specs,
lemma_u64x4_cross_word_reduce_to_two(),curve25519-dalek::lemmas::scalar_lemmas_::radix_2w_lemmas,
lemma_i_inverse_is_neg_i(),curve25519-dalek::lemmas::field_lemmas::sqrt_m1_lemmas,
axiom_uniform_elligator(),curve25519-dalek::specs::proba_specs,
lemma_bits_as_nat_rec_eq_pow2_mul_bits_from_index(),curve25519-dalek::lemmas::common_lemmas::bits_as_nat_lemmas,
is_valid_naf_lookup_table5_affine(),curve25519-dalek::specs::window_specs,
RistrettoPoint::hash_from_bytes_verus(),curve25519-dalek::ristretto,
Scalar::to_bytes(),curve25519-dalek::&Scalar#Scalar<[u8;::scalar,
lemma_as_radix_2w_postconditions(),curve25519-dalek::lemmas::scalar_lemmas_::radix_2w_lemmas,
u16_from_le_bytes(),curve25519-dalek::core_assumes,
MontgomeryPoint::to_bytes(),curve25519-dalek::&MontgomeryPoint#MontgomeryPoint<[u8;::montgomery,
EdwardsPoint::default(),curve25519-dalek::edwards,
words_as_nat_u64(),curve25519-dalek::specs::core_specs,
lemma_zero_bounded(),curve25519-dalek::lemmas::scalar_lemmas,
Neg::neg(),curve25519-dalek::backend::serial::curve_models,
lemma_canonical_scalar_mul_u_coord_reduced(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
Scalar::mul_assign(),curve25519-dalek::scalar,
Scalar52::index(),curve25519-dalek::backend::serial::u64::scalar,
lemma_pow2k_loop_boundary(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
lemma_6_bytes_reconstruct(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
lemma_cancel_z_from_ratios(),curve25519-dalek::lemmas::edwards_lemmas::niels_addition_correctness,
VartimePrecomputedStraus::new(),curve25519-dalek::backend,
Sub::sub(),curve25519-dalek::scalar,
Scalar::sub_assign(),curve25519-dalek::scalar,
is_clamped_integer(),curve25519-dalek::specs::scalar_specs,
lemma_scalar_zero_properties(),curve25519-dalek::scalar_helpers,
c0_0_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
lemma_w_digits_count_concrete(),curve25519-dalek::lemmas::scalar_lemmas_::radix_2w_lemmas,
pippenger_partial(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
lemma_cancel_common_factor(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_u8_32_as_nat_lower_bound(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
RistrettoPoint::hash_from_bytes(),curve25519-dalek::ristretto,
compressed_edwards_y_corresponds_to_edwards(),curve25519-dalek::specs::edwards_specs,
axiom_edwards_to_montgomery_preserves_validity(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
lemma_n_times_l_expansion(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_part1_chain_lemmas,
FieldElement51::is_zero(),curve25519-dalek::field,
FieldElement51::invsqrt(),"curve25519-dalek::&FieldElement51#FieldElement51<(Choice,::field",
lemma_sqrt_ratio_check_value(),curve25519-dalek::lemmas::field_lemmas::sqrt_ratio_lemmas,
sum_of_limbs_bounded(),curve25519-dalek::specs::field_specs,
axiom_montgomery_add_identity(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
lemma_edwards_add_commutative(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_bits_as_nat_lt_pow2_255_implies_msb_false(),curve25519-dalek::lemmas::common_lemmas::bits_as_nat_lemmas,
BasepointTable::create(),curve25519-dalek::traits,
scalar_as_canonical(),curve25519-dalek::specs::scalar_specs,
lemma_byte_to_word_step(),curve25519-dalek::lemmas::scalar_byte_lemmas::bytes_to_scalar_lemmas,
lemma_limb2_contribution_correctness(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
Scalar52::sub(),curve25519-dalek::backend::serial::u64::scalar,
lemma_mul_distributive_4_terms(),curve25519-dalek::lemmas::common_lemmas::mul_lemmas,
lemma_invert_correctness(),curve25519-dalek::lemmas::field_lemmas::invert_lemmas,
lemma_pow252(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_product_nonzero_mod_prime(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
EdwardsPoint::mul_assign(),curve25519-dalek::edwards,
c1_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
a2_0_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
lemma_inv_preserves_non_qr(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
Scalar52::from_bytes(),curve25519-dalek::Scalar52<&[u8;::backend::serial::u64::scalar,
lemma_extended_gcd_is_gcd(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
proof_negate(),curve25519-dalek::lemmas::field_lemmas::negate_lemmas,
axiom_nonsquare_branch_r_sq(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
fe51_limbs_bounded(),curve25519-dalek::specs::field_specs,
lemma_v_times_sq_uv3_eq_u_times_w(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
MontgomeryPoint::hash(),curve25519-dalek::montgomery,
Scalar::bits_le(),curve25519-dalek::&Scalar#Scalar<[bool;::scalar,
RistrettoPoint::from_uniform_bytes(),curve25519-dalek::RistrettoPoint<&[u8;::ristretto,
EdwardsPoint::sum_of_slice(),curve25519-dalek::edwards,
lemma_field_sub_add_common_right(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_sub_projective_niels_completed_valid(),curve25519-dalek::lemmas::edwards_lemmas::niels_addition_correctness,
RistrettoPoint::encode_253_bits(),curve25519-dalek::RistrettoPoint<&[u8;::lizard::lizard_ristretto,
lemma_mul_distributes_over_neg_mod(),curve25519-dalek::lemmas::common_lemmas::div_mod_lemmas,
CompressedEdwardsY::default(),curve25519-dalek::edwards,
nl_high_contribution(),curve25519-dalek::specs::montgomery_reduce_specs,
CompressedRistretto::as_bytes(),curve25519-dalek::&CompressedRistretto#CompressedRistretto<[u8;::ristretto,
EdwardsPoint::iter_count(),curve25519-dalek::edwards,
ai_val_boundaries(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
a0_1_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
clone_optional_ristretto_iter_with_spec(),curve25519-dalek::specs::iterator_specs,
Scalar52::montgomery_reduce(),curve25519-dalek::backend::serial::u64::scalar,
lemma_pow2_mul_div_mod_close_mod(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
to_nat_exec(),curve25519-dalek::backend::serial::u64::scalar::test,
lemma_bits_from_index_eq_byte_bits(),curve25519-dalek::lemmas::common_lemmas::bits_as_nat_lemmas,
lemma_multiply_by_i_flips_sign(),curve25519-dalek::lemmas::field_lemmas::sqrt_m1_lemmas,
lemma_invert_power_chain(),curve25519-dalek::lemmas::field_lemmas::invert_lemmas,
lemma_fe51_unit_is_one(),curve25519-dalek::lemmas::field_lemmas::u64_5_as_nat_lemmas,
lemma_words_to_scalar(),curve25519-dalek::lemmas::scalar_byte_lemmas::bytes_to_scalar_lemmas,
lemma_u64_5_as_nat_sub(),curve25519-dalek::lemmas::field_lemmas::u64_5_as_nat_lemmas,
CompressedRistretto::to_bytes(),curve25519-dalek::&CompressedRistretto#CompressedRistretto<[u8;::ristretto,
JacobiPoint::elligator_inv(),"curve25519-dalek::&JacobiPoint#JacobiPoint<(Choice,::lizard::jacobi_quartic",
lemma_u8_32_as_nat_identity(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
lemma_radix16_even_scalar_step(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
is_inverse(),curve25519-dalek::specs::scalar_specs,
u8_32_as_nat(),curve25519-dalek::specs::core_specs,
FieldElement51::square(),curve25519-dalek::backend::serial::u64::field,
bits_as_nat(),curve25519-dalek::specs::core_specs,
is_valid_lookup_table_affine_coords(),curve25519-dalek::specs::window_specs,
lemma_canonical_montgomery_lift_zero(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
lemma_ct_eq_iff_canonical_nat(),curve25519-dalek::lemmas::field_lemmas::as_bytes_lemmas,
spec_sqrt_ad_minus_one(),curve25519-dalek::specs::ristretto_specs,
RistrettoPoint::batch_invert_vec(),curve25519-dalek::ristretto,
test_elligator_inv(),curve25519-dalek::lizard::lizard_ristretto::test,
partial_product_montgomery(),curve25519-dalek::lemmas::scalar_batch_invert_lemmas,
lemma_from_u8_32_as_nat_0123(),curve25519-dalek::lemmas::field_lemmas::from_bytes_lemmas,
lemma_edwards_d2_limbs_bounded(),curve25519-dalek::lemmas::edwards_lemmas::constants_lemmas,
lemma_binary_sum_mod_decomposition(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
lemma_byte_bits_value_full(),curve25519-dalek::lemmas::common_lemmas::bits_as_nat_lemmas,
spec_edwards_from_ristretto_iter(),curve25519-dalek::specs::iterator_specs,
straus_optional_multiscalar_mul(),curve25519-dalek::backend,
lemma_field_mul_zero_right(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
axiom_affine_odd_multiples_of_basepoint_valid(),curve25519-dalek::specs::window_specs,
is_valid_naf_lookup_table8_projective(),curve25519-dalek::specs::window_specs,
lemma_bounded_shr_51(),curve25519-dalek::lemmas::field_lemmas::compute_q_lemmas,
is_qr(),curve25519-dalek::lemmas::montgomery_curve_lemmas::test_qr_axioms,
lemma_select_is_signed_scalar_mul(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
lemma_load8_at_limb2(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
NafLookupTable8::from(),curve25519-dalek::window,
lemma_foil_sub(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_inverse_unique_core(),curve25519-dalek::specs::field_specs,
lemma_poly_mul_5x5_decomposition(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_part1_chain_lemmas,
Scalar::product_of_slice(),curve25519-dalek::scalar_helpers,
Scalar::from_hash_verus(),curve25519-dalek::Scalar<[u8;::scalar,
lemma_is_zero_iff_canonical_nat_zero(),curve25519-dalek::lemmas::field_lemmas::batch_invert_lemmas,
lemma_p_is_odd(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_pow2_square(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
spec_mul_internal(),curve25519-dalek::specs::scalar52_specs,
lemma_pow2_distributivity_over_word(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
seq_from4(),curve25519-dalek::core_assumes,
lemma_load8_at_plus_version_is_spec(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
spec_mod_inverse(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
VartimePrecomputedStraus::optional_mixed_multiscalar_mul(),curve25519-dalek::backend::serial::scalar_mul::precomputed_straus,
RistrettoPoint::sum_of_slice(),curve25519-dalek::ristretto,
lemma_sub_loop1_invariant(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_int_nat_mod_equiv(),curve25519-dalek::lemmas::common_lemmas::div_mod_lemmas,
lemma_backward_loop_acc_invariant(),curve25519-dalek::lemmas::scalar_batch_invert_lemmas,
lemma_u64x4_bit_extraction(),curve25519-dalek::lemmas::scalar_lemmas_::radix_2w_lemmas,
lemma_sign_bit_after_conditional_negate(),curve25519-dalek::lemmas::edwards_lemmas::decompress_lemmas,
collect_points_from_iter(),curve25519-dalek::specs::iterator_specs,
lemma_bounded_product_satisfies_input_bounds(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_lemmas,
spec_nonspec_map_to_curve(),curve25519-dalek::specs::edwards_specs,
lemma_affine_to_extended_valid(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_add_loop_invariant(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_carry_propagation_setup(),curve25519-dalek::lemmas::field_lemmas::compute_q_lemmas,
lemma_geometric_sum_5_terms(),curve25519-dalek::lemmas::field_lemmas::to_bytes_reduction_lemmas,
lemma_field_element_equal_implies_fe51_to_bytes_equal(),curve25519-dalek::lemmas::field_lemmas::as_bytes_lemmas,
lemma_field_element_reduced(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_nibbles_equal_bytes_prefix(),curve25519-dalek::lemmas::scalar_lemmas_::radix16_lemmas,
lemma_field_mul_distributes_over_add(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_uv7_nonzero(),curve25519-dalek::lemmas::field_lemmas::sqrt_ratio_lemmas,
lemma_5_bytes_scale(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
bits_from_index_to_nat(),curve25519-dalek::specs::core_specs,
lemma_from_bytes_as_bytes_roundtrip(),curve25519-dalek::lemmas::field_lemmas::as_bytes_lemmas,
nat_invsqrt(),curve25519-dalek::specs::field_specs,
vec_to_edwards_iter(),curve25519-dalek::specs::iterator_specs,
lemma_extract_byte_at_index(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
fe51_as_canonical_nat_sign_bit(),curve25519-dalek::specs::field_specs,
variable_base_mul(),curve25519-dalek::backend,
Neg::neg(),curve25519-dalek::backend::serial::u64::field,
partial_product_nonzeros(),curve25519-dalek::specs::field_specs,
lemma_pm_mp_neg_setup(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_pow2_260_greater_than_2_group_order(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_zero_field_element_value(),curve25519-dalek::lemmas::field_lemmas::constants_lemmas,
Mul::mul(),curve25519-dalek::ristretto,
Scalar::unpack(),curve25519-dalek::scalar,
lemma_edwards_scalar_mul_canonical(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
montgomery_sub(),curve25519-dalek::specs::montgomery_specs,
lemma_from_u8_32_as_nat_012(),curve25519-dalek::lemmas::field_lemmas::from_bytes_lemmas,
is_valid_naf_lookup_table8_affine_coords(),curve25519-dalek::specs::window_specs,
lemma_from_u8_32_as_nat_01(),curve25519-dalek::lemmas::field_lemmas::from_bytes_lemmas,
EdwardsPoint::add_assign(),curve25519-dalek::edwards,
is_valid_naf(),curve25519-dalek::specs::scalar_specs,
montgomery_ladder_invariant(),curve25519-dalek::specs::montgomery_specs,
lemma_bridge_pow_as_nat_to_spec(),curve25519-dalek::lemmas::field_lemmas::u64_5_as_nat_lemmas,
lemma_edwards_add_identity_right_canonical(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_elligator_never_minus_one(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
NafLookupTable5::from(),curve25519-dalek::window,
RistrettoPoint::double_and_compress_batch_verus(),curve25519-dalek::ristretto,
MultiscalarMul::multiscalar_mul(),curve25519-dalek::traits,
compressed_edwards_y_from_array_result(),curve25519-dalek::core_assumes,
BatchCompressState::from(),curve25519-dalek::ristretto,
lemma_rr_limbs_bounded(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_load8_at_rec_version_is_exec(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
lemma_edwards_scalar_mul_additive(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
axiom_sqrt_m1_not_square(),curve25519-dalek::lemmas::field_lemmas::sqrt_m1_lemmas,
spec_affine_niels_point(),curve25519-dalek::specs::edwards_specs,
lemma_reconstruct_zero_extend(),curve25519-dalek::lemmas::scalar_lemmas_::naf_lemmas,
RistrettoBasepointTable::basepoint(),curve25519-dalek::ristretto,
words_as_nat_gen(),curve25519-dalek::specs::core_specs,
lemma_pow2_plus_one(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
RistrettoPoint::vartime_double_scalar_mul_basepoint(),curve25519-dalek::ristretto,
ProjectiveNielsPoint::identity(),curve25519-dalek::backend::serial::curve_models,
EdwardsPoint::is_valid(),curve25519-dalek::edwards,
Scalar::from_bytes_mod_order(),curve25519-dalek::Scalar<[u8;::scalar,
ProjectivePoint::as_affine(),curve25519-dalek::montgomery,
fe51_as_canonical_nat(),curve25519-dalek::specs::field_specs,
pippenger_optional_multiscalar_mul(),curve25519-dalek::backend,
lemma_edwards_affine_when_z_is_one(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
is_valid_affine_niels_point(),curve25519-dalek::specs::edwards_specs,
projective_point_as_affine_edwards(),curve25519-dalek::specs::edwards_specs,
point_limbs_bounded(),curve25519-dalek::specs::edwards_specs::eight_torsion_tests,
axiom_uniform_mod_reduction(),curve25519-dalek::specs::proba_specs,
five_u64_limbs_to_nat(),curve25519-dalek::specs::scalar52_specs,
lemma_euclid_prime_helper(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
VartimePrecomputedMultiscalarMul::vartime_multiscalar_mul(),curve25519-dalek::traits,
lemma_montgomery_reduce_post_sub(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_lemmas,
Scalar52::conditional_add_l(),curve25519-dalek::&mut::backend::serial::u64::scalar,
lemma_high_limbs_encode_high_expr(),curve25519-dalek::lemmas::scalar_lemmas_extra,
lemma_div_mul_cancel(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
FieldElement51::pow22501(),"curve25519-dalek::&FieldElement51#FieldElement51<(FieldElement,::field",
u64_5_bounded(),curve25519-dalek::specs::field_specs,
lemma_cancel_mul_L_mod_R(),curve25519-dalek::lemmas::scalar_lemmas,
NafLookupTable8::select(),curve25519-dalek::window,
lemma_sub_neg_eq_add(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_identity_affine_niels_is_identity(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_mul_si_vi_and_reorder(),curve25519-dalek::lemmas::common_lemmas::mul_lemmas,
binomial(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
Scalar52::as_montgomery(),curve25519-dalek::backend::serial::u64::scalar,
c2_0_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
bytes_seq_as_nat(),curve25519-dalek::specs::core_specs,
limb3_byte_contribution(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
from_bytes_non_canonical_example(),curve25519-dalek::backend::serial::u64::scalar::test,
lemma_zero_limbs_is_zero(),curve25519-dalek::lemmas::montgomery_lemmas,
bits_as_nat_rec(),curve25519-dalek::specs::core_specs,
