function,module,link,has_spec,has_proof
LookupTable <AffineNielsPoint>::from,curve25519_dalek::window,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/window.rs#L369,yes,
LookupTable <ProjectiveNielsPoint>::default,curve25519_dalek::window,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/window.rs#L264,yes,yes
LookupTable <ProjectiveNielsPoint>::from,curve25519_dalek::window,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/window.rs#L297,yes,
MontgomeryPoint::as_bytes,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L1096,yes,yes
MontgomeryPoint::ct_eq,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L170,yes,yes
MontgomeryPoint::default,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L152,yes,yes
MontgomeryPoint::eq,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L230,yes,yes
MontgomeryPoint::hash,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L260,yes,yes
MontgomeryPoint::identity,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L326,yes,yes
MontgomeryPoint::mul_assign,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L2744,yes,yes
MontgomeryPoint::mul_base,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L372,yes,yes
MontgomeryPoint::mul_base_clamped,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L470,yes,yes
MontgomeryPoint::mul_bits_be,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L493,yes,yes
MontgomeryPoint::mul_clamped,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L425,yes,yes
MontgomeryPoint::to_bytes,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L1104,yes,yes
MontgomeryPoint::to_edwards,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L1112,yes,yes
MontgomeryPoint::zeroize,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L353,yes,yes
NafLookupTable5 <AffineNielsPoint>::from,curve25519_dalek::window,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/window.rs#L612,yes,
NafLookupTable5 <AffineNielsPoint>::select,curve25519_dalek::window,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/window.rs#L513,yes,yes
NafLookupTable5 <ProjectiveNielsPoint>::from,curve25519_dalek::window,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/window.rs#L552,yes,
NafLookupTable5 <ProjectiveNielsPoint>::select,curve25519_dalek::window,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/window.rs#L488,yes,yes
NafLookupTable8 <AffineNielsPoint>::from,curve25519_dalek::window,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/window.rs#L841,yes,
NafLookupTable8 <AffineNielsPoint>::select,curve25519_dalek::window,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/window.rs#L734,yes,yes
NafLookupTable8 <ProjectiveNielsPoint>::from,curve25519_dalek::window,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/window.rs#L780,yes,
NafLookupTable8 <ProjectiveNielsPoint>::select,curve25519_dalek::window,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/window.rs#L708,yes,yes
Pippenger::optional_multiscalar_mul_verus,curve25519_dalek::backend::serial::scalar_mul::pippenger,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/scalar_mul/pippenger.rs#L217,yes,
ProjectiveNielsPoint::conditional_assign,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L438,yes,yes
ProjectiveNielsPoint::conditional_select,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L396,yes,yes
ProjectiveNielsPoint::default,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L290,yes,yes
ProjectiveNielsPoint::identity,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L276,yes,yes
ProjectiveNielsPoint::zeroize,curve25519_dalek::backend::serial::curve_models,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/curve_models/mod.rs#L242,yes,yes
ProjectivePoint::as_affine,curve25519_dalek::montgomery,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/montgomery.rs#L1882,yes,yes
